ID: vg001  Título: Super Mario Bros.  Año: 1985  Compañía: Nintendo  Consola: NES  Puntuación: 9.8
ID: vg002  Título: The Legend of Zelda: Ocarina of Time  Año: 1998  Compañía: Nintendo  Consola: N64  Puntuación: 9.6
ID: vg003  Título: Half-Life 2  Año: 2004  Compañía: Valve  Consola: PC  Puntuación: 9.5
ID: vg004  Título: Grand Theft Auto V  Año: 2013  Compañía: Rockstar Games  Consola: PS3, Xbox 360  Puntuación: 9.6
ID: vg005  Título: Red Dead Redemption 2  Año: 2018  Compañía: Rockstar Games  Consola: PS4, Xbox One  Puntuación: 9.8
ID: vg006  Título: The Witcher 3: Wild Hunt  Año: 2015  Compañía: CD Projekt  Consola: PS4, Xbox One  Puntuación: 9.7
ID: vg007  Título: Final Fantasy VII  Año: 1997  Compañía: Square Enix  Consola: PS1  Puntuación: 9.5
ID: vg008  Título: Portal 2  Año: 2011  Compañía: Valve  Consola: PC  Puntuación: 9.7
ID: vg009  Título: Overwatch  Año: 2016  Compañía: Blizzard Entertainment  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg010  Título: Dark Souls  Año: 2011  Compañía: FromSoftware  Consola: PS3, Xbox 360  Puntuación: 9.5
ID: vg011  Título: Hollow Knight  Año: 2017  Compañía: Team Cherry  Consola: PC  Puntuación: 9.4
ID: vg012  Título: Celeste  Año: 2018  Compañía: Maddy Makes Games  Consola: PS4, Xbox One  Puntuación: 9.6
ID: vg013  Título: Bloodborne  Año: 2015  Compañía: FromSoftware  Consola: PS4  Puntuación: 9.7
ID: vg014  Título: God of War (2018)  Año: 2018  Compañía: Sony Santa Monica  Consola: PS4  Puntuación: 9.8
ID: vg015  Título: Persona 5  Año: 2016  Compañía: Atlus  Consola: PS3, PS4  Puntuación: 9.5
ID: vg016  Título: Spelunky  Año: 2008  Compañía: Spelunky Team  Consola: PC  Puntuación: 9.0
ID: vg017  Título: Stardew Valley  Año: 2016  Compañía: ConcernedApe  Consola: PC  Puntuación: 9.3
ID: vg018  Título: Undertale  Año: 2015  Compañía: Tofu  Consola: PC  Puntuación: 9.7
ID: vg019  Título: Journey  Año: 2012  Compañía: Thatgamecompany  Consola: PS3  Puntuación: 9.3
ID: vg020  Título: Metal Gear Solid  Año: 1998  Compañía: Konami  Consola: PS1  Puntuación: 9.8
ID: vg021  Título: Super Mario 64  Año: 1996  Compañía: Nintendo  Consola: N64  Puntuación: 9.6
ID: vg022  Título: Halo: Combat Evolved  Año: 2001  Compañía: Bungie  Consola: Xbox  Puntuación: 9.5
ID: vg023  Título: BioShock  Año: 2007  Compañía: 2K Games  Consola: PC  Puntuación: 9.6
ID: vg024  Título: Assassin's Creed II  Año: 2009  Compañía: Ubisoft  Consola: PS3, Xbox 360  Puntuación: 9.5
ID: vg025  Título: Mass Effect 2  Año: 2010  Compañía: BioWare  Consola: Xbox 360, PC  Puntuación: 9.7
ID: vg026  Título: Rocket League  Año: 2015  Compañía: Psyonix  Consola: PS4, Xbox One  Puntuación: 9.0
ID: vg027  Título: Celeste  Año: 2018  Compañía: Maddy Makes Games  Consola: PS4, Xbox One  Puntuación: 9.6
ID: vg028  Título: Hollow Knight  Año: 2017  Compañía: Team Cherry  Consola: PC  Puntuación: 9.4
ID: vg029  Título: Bloodborne  Año: 2015  Compañía: FromSoftware  Consola: PS4  Puntuación: 9.7
ID: vg030  Título: God of War (2018)  Año: 2018  Compañía: Sony Santa Monica  Consola: PS4  Puntuación: 9.8
ID: vg031  Título: The Last of Us  Año: 2013  Compañía: Naughty Dog  Consola: PS3  Puntuación: 9.7
ID: vg032  Título: Uncharted 2: El reino de los ladrones  Año: 2009  Compañía: Naughty Dog  Consola: PS3  Puntuación: 9.6
ID: vg033  Título: Red Dead Redemption  Año: 2010  Compañía: Rockstar Games  Consola: PS3, Xbox 360  Puntuación: 9.8
ID: vg034  Título: BioShock Infinite  Año: 2013  Compañía: 2K Games  Consola: PS3, Xbox 360  Puntuación: 9.3
ID: vg035  Título: Mass Effect  Año: 2007  Compañía: BioWare  Consola: Xbox 360, PC  Puntuación: 9.5
ID: vg036  Título: Halo 3  Año: 2007  Compañía: Bungie  Consola: Xbox 360  Puntuación: 9.6
ID: vg037  Título: Super Mario Odyssey  Año: 2017  Compañía: Nintendo  Consola: Switch  Puntuación: 9.7
ID: vg038  Título: Persona 5 Royal  Año: 2019  Compañía: Atlus  Consola: PS4  Puntuación: 9.8
ID: vg039  Título: Dark Souls III  Año: 2016  Compañía: FromSoftware  Consola: PS4, Xbox One  Puntuación: 9.5
ID: vg040  Título: Bloodborne  Año: 2015  Compañía: FromSoftware  Consola: PS4  Puntuación: 9.7
ID: vg041  Título: God of War (2018)  Año: 2018  Compañía: Sony Santa Monica  Consola: PS4  Puntuación: 9.8
ID: vg042  Título: Spider-Man (2018)  Año: 2018  Compañía: Insomniac Games  Consola: PS4  Puntuación: 9.3
ID: vg043  Título: Horizon Zero Dawn  Año: 2017  Compañía: Guerrilla Games  Consola: PS4  Puntuación: 9.0
ID: vg044  Título: Ghost of Tsushima  Año: 2020  Compañía: Sucker Punch Productions  Consola: PS4  Puntuación: 9.7
ID: vg045  Título: Cyberpunk 2077  Año: 2020  Compañía: CD Projekt  Consola: PS4, Xbox One  Puntuación: 9.9
